Organisation name,Effective Date,Unique Property Reference Number,Unique Asset Identity,Name of the building/land or both,Street Name,Town,PostCode,X,Y,Tenure Type,Tenure Detail (see List),Holding Type
Rochdale,2021-22,,10903,Newgate  Land at junction Car Park,Newgate,Rochdale,,389414.8527,413385.226,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10906,Malvern Street West  - Turning Point,Malvern Street West,Rochdale,,388097.0986,413032.2137,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10908,"Oldham Road Control Kiosk, Rochdale",Oldham Road,Rochdale,,390580.4913,410860.1405,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10909,Belfield Hall Farm Rochdale Land,Albert Royds Street,Rochdale,OL16 2AU,391439.0495,413609.1852, LEASEHOLD,Leasehold (in),Land
Rochdale,2021-22,,10910,"Church Road Rochdale, Land ADJ No 20",Church Road,Rochdale,,#N/A,#N/A,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10911,Fitton Street Community Centre Rochdale,Fitton Street,Rochdale,OL16 20Z,#N/A,#N/A,FREEHOLD,Leasehold (Out),Land & Buildings
Rochdale,2021-22,,10913,Charles Lane Land lying to the North,Charles Lane,Rochdale,OL16 3PB,393254.7654,412432.116,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10914,Kiln Lane Milnrow Recreation Land,Kiln Lane,Rochdale,,392782.9824,412999.9066,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10916,Bowness Road 24-36 Middleton Retail Leases,Bowness Road,Middleton,,385239.1053,406369.7062,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10920,Banff Grove N0 16 Heywood,Banff Grove,Heywood,,384346.7321,410299.3524,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10923,Pennine Drive Recreation Area,Pennine Drive,Rochdale,,393223.6926,412610.2255,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10924,Chamber House Land Area,Rochdale Road East,Heywood,,387228.4344,411126.7664,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10932,Julia Street Miscellaneous Site,Julia Street,Rochdale,,#N/A,#N/A,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10933,Eagle Technology Park - land adj,Queensway,Rochdale,OL11 1TQ,#N/A,#N/A,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10934,Aboukir Street Land Leased In,Aboukir Street,Rochdale,,390486.9992,413686.6759, LEASEHOLD,Leasehold (in),Land
Rochdale,2021-22,,10937,"Elizabethhan Way, Milnrow Land at",Elizabethan Way,Rochdale,,393269.082,411682.2624,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10938,Hollingworth Lake Road Littleborough Land at,Hollingworth Road,Littleborough,,#N/A,#N/A,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10939,Church Place Rochdale Pay & Display Car Park,Church Lane,Rochdale,,389762.7727,413231.23,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10940,Bury Road Rochdale,Bury Road,Rochdale,,#N/A,#N/A,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10943,"Longfield Road, Edenfield Rochdale",Land on east side of,Rochdale,,388481.9193,413849.5413,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10944,Yorkshire Street Upper Pay & Display Car Park,Yorkshire Street,Rochdale,,389924.5969,413696.1561,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10945,Whitefield Bottom Farm Land,Whitefield Crescent,Rochdale,OL16 4NX,393679.0176,410908.7262,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10950,Jubilee Road Industrial Leases,Jubilee Road,Middleton,M24 2HU,387597.8396,406216.22,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10951,Manchester Road Land Lying to South Side,Manchester Road,Rochdale,,389000.7841,412122.8324, LEASEHOLD,Leasehold (in),Land
Rochdale,2021-22,,10952,Manchester Road 109 Land,Manchester Road,Rochdale,OL11 4JG,389216.5517,412694.5127, LEASEHOLD,Leasehold (in),Land
Rochdale,2021-22,,10953,Sparth Bottoms Rochdale Land on South Side,Sparth Bottoms,Rochdale,,389011.6171,412707.8721, LEASEHOLD,Leasehold (in),Land
Rochdale,2021-22,,10954,Ventnor Street Land,Ventnor Street,Rochdale,,389785.3302,412258.8414,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10955,Foxglove Court Open Space Land,Foxgove Court,Rochdale,,388686.3408,415090.078,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10956,Facit Branch Railway Line,,Rochdale,,388623.3386,415035.7321,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10957,Halifax Road Land Adj 691,Halifax Road,Rochdale,OL12 9QZ,391959.8046,415641.8909,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10958,West Street Rochdale Land Strip on North West,West Street,Rochdale,,390172.9758,413700.126,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10959,Ball Street Open Space,Ball Street,Rochdale,,390095.168,413722.2601, LEASEHOLD,Leasehold (in),Land
Rochdale,2021-22,,10960,Redcross Street (Land Adj to Number 69),Redcross Street,Rochdale,,389537.9157,413910.4868,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10962,Milkstone road Land to Rear of 35,Milkstone Road,Rochdale,,389727.9514,412715.5737,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10963,Lansdowne Street Land Area,Malvern Street East,Rochdale,,388476.0373,413163.0024,FREEHOLD,Local Authority Occupied,Land
Rochdale,2021-22,,10965,Hill Street Industrial Leases,Hill Street,Rochdale,OL16 1SW,390023.7781,413180.699,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10966,Oldham Road West Side Of Gas Governor,Oldham Road,Rochdale,,390319.6436,412361.9053,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10969,Whittaker Moss Transmitter Site,Turnbarn Lane,Rochdale,OL11 5UY,386165.856,414291.0074,FREEHOLD,Leasehold (Out),Land
Rochdale,2021-22,,10970,Sandy Lane Land Area,Sandy Lane,Rochdale,,388268.711,413271.9385,FREEHOLD,Local Authority Occupied,Land
