Organisation name,Effective Date,Unique Property Reference Number,Unique Asset Identity,Name of the building/land or both,Street Name,Town,PostCode,X,Y,Tenure Type,Tenure Detail (see List),Holding Type
Rochdale Borough Council,2021-22,,2275,Longford Street Car Park (1),Longford Street,Heywood, OL10 4NH,385527.72,410859.29,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2277,Longford Street Car Park (2),Longford Street,Rochdale, OL10 4NH,385548.18,410861.59,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2281,Meanwood Fold Car Park,Meanwood Fold,Heywood, OL12 7AJ,388575.53,413892.06,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2283,Mutual Street Car Park,Mutual Street,Rochdale, OL10 4HT,386104.98,411170.24,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2285,Norman Road Car park,Norman Road,Rochdale, OL11 4HS,388977.63,413012.41,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,23103787,2289,Peel Street Car Park,Peel Street,Rochdale, OL15 8AQ,393677.27,416260.33,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2291,Pioneer Street Car Park (1),Pioneer Street,Rochdale, Ol11 1JG,390033.41,412577.88,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2293,Pioneer Street car Park (2),Pioneer Street,Rochdale, OL11 1JG,390084.09,412558.3,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2296,Rivington Street Car Park (1),Rivington Street,Rochdale, OL12 0JU,389819.68,414220.77,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2298,Rivington Street Car Park (2),Rivington Street,Pennine, OL12 0JU,389828.18,414169.72,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2300,Rochdale Road Car Park,Rochdale Road,Middleton, OL16 3BU,391814.49,413253.59,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2302,Rochdale Road & Hollin Lane Car Park,Rochdale Road,Rochdale, M24 5EE,387139.18,406833.32,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2304,Rugby Road Car Park,Rugby Road,Rochdale, OL12 0DZ,390091.26,414324.93,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2306,Slattocks Car Park,Rochdale Road,Heywood, M24 2RA,388461.22,408611.47,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2308,St Jame's Street Car Park,St James Street,Rochdale, OL10 1JN,385155.86,410816.33,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2310,Station Approach Car Park,Station Approach,Rochdale,,389872.82,412661.24,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2312,Stratford Avenue Car Park,Stratford Avenue,Heywood, OL11 3RA,389231.38,412160.45,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,23101977,2314,Taylor Street Car Park,Taylor Street,Middleton, OL10 1EF,385503.74,410762.44,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2322,Trafalgar Square Car Park,Trafalgar Square,Rochdale,,390425.92,413668.64,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2329,Wardle Fold Car Park,Wardle Fold,Pennine,,391266.95,417129.41,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2331,Wardle Road Car Park,Wardle Road,Rochdale, OL12 9EL,391165.68,415730.15,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2333,Watkin St Car Park,Watkin Street,Middleton, OL16 4UJ,390477.27,411700.72,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2337,Wellfield Place Car Park,Wellfield Place,Pennine,,390306.21,412119.69,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2340,Whittles Yard Car Park,Whittles Yard,Rochdale,,393205.91,412328.08,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2342,Whitworth Road & Grasmere St Car Park,Whitworth Road,Heywood, OL12 0RW,389761.36,414305.02,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,23102431,2344,Miller Street Car Park,Miller Street,Rochdale, OL10 4HX,385913.52,410784.79,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2346,Yorkshire St & Morley St Car Park,Yorkshire Street,Rochdale, OL16 2LG,390533.14,414092.81,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,2806,Renaissance House Car Park,off Drake Street,Rochdale, OL16 1QZ,389857.54,413210.57,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,3210,Charles Street Car Park,Charles Street,Rochdale, OL15 6JE,393491.05,416160.64,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,3352,River Street / Drake Street Car Park,River Street,Rochdale,,389851.01,413304.78,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,3468,Elliot St South 'West side Land,Bunyan St,Rochdale,,390065.7,413947.7,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,,3486,St James Church (car park),Ramsden Road,Rochdale,,391254.66,416979.93,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,23101671,3503,Kemp St (Archer PH),Kemp Street,Rochdale, M24 4UA,386608.14,405753.48,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,,3735,Rochdale College Car Park,College Road,Middleton,,389163.82,413420.31,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,10023362712,19,Dearnley Cemetery,Arm Road,Middleton, OL11 1DS,392399.94,416077.32,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,23018426,48,Middleton Old Cemetery,St Leonards Street,Rochdale, M24 6AN,387189.68,406178.78,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,10023362711,238,Rochdale Cemetery,Bury Road,Middleton, OL11 4DG,387925.6,413203.93,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,10023362018,239,Middleton Cemetery and Crematorium,Boarshaw Road,Heywood, M24 6BR,388296.73,406847.59,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23041183,240,Heywood Cemetery,Rochdale Road East,Heywood, OL10 1RJ,387023.52,411823.33,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,,302,Milnrow Memorial Park,Newhey Road,Rochdale, OL16 4JS,393339.1,411893.82,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23059195,363,St Chads Burial Ground,Church Stile,Pennine, OL16 1QE,389659.56,412964,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23097874,28,King George V Playing Field and Bowling,Aspinall Street,Rochdale, M24 2BH,388352.87,405398.35,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23015137,101,Alkrington Community Centre,Kirkway,Middleton, M24 1PQ,387213.81,404449.06,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23108732,102,Stanycliffe Social Centre,Stanycliffe Lane,Middleton, M24 2NU,388051.69,406993.95,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23101410,103,Brookside Community Centre,Lincoln Road,Middleton, M24 1RH,388119.92,404525.34,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23010153,104,Cleworth Road Community Centre,Cleworth Road,Middleton, M24 5DF,387001.77,406590.69,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23003171,105,Demesne Community Centre,Asby Close,Middleton, M24 4JF,385554.95,406515.77,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23101451,106,Elm Street Community Centre,Elm Street,Middleton, M24 2EG,388356.65,406011.96,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23101833,107,Emerson Community Centre,Boardman Lane,Middleton, M24 4NT,385126.41,405302.36,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23020272,108,Hollin Children's Centre,Tintern Road,Middleton, M24 6JP,387075.18,407528.78,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23101519,110,Springvale Youth Base,Oldham Road,Rochdale, M24 2JT,387687.15,405954.54,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23087899,111,Butterworth Hall Community Centre,New Street,Pennine, OL16 3PQ,393167.45,412314.38,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23031928,122,Heywood Civic Hall,Church Street,Middleton, OL10 1LW,385687.62,410652.04,Leasehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23109404,134,Newbold Surestart Centre and Youth Club,Moss Street,Rochdale, OL16 5NL,390579.3,412663.04,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23109188,147,Jumbo Community Centre,Grimshaw Lane,Middleton, M24 2BW,388199.53,405257.24,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23034553,151,Back O'th Moss Community Centre,Peel Lane,Heywood, OL10 4TU,385014.5,411480.21,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23047306,165,Castleton Community Centre & Library,Manchester Road,Rochdale, OL11 3AF,388043,410919.31,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23001747,173,Lakeside Centre,Bowness Road,Rochdale, M24 4NU,385493.28,406433.47,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23037927,180,Bamford Community Centre,Off Diggles Lane,Rochdale, OL11 5PP,386404.28,412960.85,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23078202,184,Meadowfields Community Centre,Eafield Road,Rochdale, OL16 2TH,391192.74,414354.52,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23048464,186,Sparth Community Centre & Open Space,Norman Road,Rochdale, OL11 4HS,388918.71,413029.02,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23059877,187,Spotland Community Centre,Spotland Road,Rochdale, OL12 6PJ,389065.33,413752.99,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23048123,188,Sudden Community Centre,11-25 Cheltenham Street,Rochdale, OL11 3QJ,388867.03,411986.47,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23072023,190,Wardleworth Community Centre,South Street,Heywood, OL16 2EP,390291.66,413713.51,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23102410,191,Crimble Croft Community Centre,Aspinall Street,Heywood, OL10 4HN,386067.62,411084.96,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23028770,193,Heady Hill Community Centre,Whalley Road,Rochdale, OL10 3JG,384118.39,410611.75,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23042070,208,Matthew Moss Youth Centre,Matthew Moss Lane,Middleton, OL113LU,387583.33,411610.14,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23000124,209,Rhodes Youth Club,Kelvin Avenue,Rochdale, M24 4RA,384531.77,404945.79,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23081905,210,Milnrow Youth Club,Cornfield Street,Heywood, OL16 3DW,393234.67,412476.43,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23033260,214,Queen Street Children and Family Centre,Queen Street,Rochdale, OL10 4LF,385617.5,410948.39,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23101978,226,Sandon House,Taylor Street,Rochdale, OL10 1EF,385510.31,410704.16,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23016628,229,Hanson Corner,Hanson Street,Rochdale, M24 4HD,387494.48,405879.8,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23105392,241,Heywood Market Centre,Hartley Street,Rochdale, OL10 1LT,385714.75,410742.53,Leasehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23103119,256,Diggles Lane Scout Hall,Diggles Lane,Rochdale, OL11 5PP,386378.36,412930.47,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23061691,259,20 St Mary's Gate,St. Mary's Gate,Middleton, OL16 1DZ,389668.05,413661.43,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,10023364878,262,Demesne Nursery Unit,Asby Close,Middleton, M24 4JF,385526.46,406489,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,,265,Manchester Old Road Public Convenience (Former),Manchester Old Road,Heywood, M24 4EB,385815.52,405358.56,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,10023362484,266,Hopwood Recreation Ground,Coronation Avenue,Pennine, OL10 2NB,386238.97,409561.25,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23109190,277,Brentwood Middleton Day Centre,115 Long Street,Rochdale, M24 6DL,387046.09,406394.88,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23111235,311,Green Lane Depot,Green Lane,Rochdale, OL10 2DY,386583.31,410367.99,Leasehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23108272,326,Globe House,Mossbridge Road,Middleton, OL16 5EB,390910.54,412552.66,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23078070,342,Albert Royd Street (shop),239 -241 Albert Royds Street,Rochdale, Ol16 2TS,391267.37,414106.16,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23102287,387,Kent Walk Scout Pavilion,Kent Walk,Pennine, OL10 3BX,384517.26,410460.16,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23047408,1506,Sudden Resource Centre,Silk Street,Middleton, Ol11 3EU,388477.52,411686.23,Leasehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,,1571,Prickshaw Dam,Prickshaw Dam,Middleton,,387332.19,416607.51,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,1997,"The Phoenix Centre, Heywood",Church Street,Middleton, OL10 1LR,385626.51,410647.36,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,10023362738,2425,Heywood Child Welfare - The Yard,Argyle Parade,Pennine, OL10 3RY,384077.92,410167.52,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,10023362739,2911,Darnhill Adventure Playground,Argyle Parade,Heywood, OL10 3RY,383848.66,410180.61,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,3167,Former Norden Library,Edenfield Road,Middleton, OL11 5XE,386293.66,414446.27,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23102617,3359,Castlemere Community Centre,Tweedale Street,Rochdale, OL11 1HH,389548.45,412612.72,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,,3383,Unique Enterprise Centre,Belfield Road,Rochdale, OL16 2UP,390785.86,414062.27,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23104677,3474,Charles Lane Playgroup,Charles Lane,Middleton, OL16 3PA,393224.88,412355.1,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,,3476,The Albion (land),Wood Street,Middleton,,386830.15,405985.5,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,23102416,3480, Starkey Street Scout Hut,West Starkey Street,Rochdale, OL10 4JS,385838.59,411092.4,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,23102875,3490,Silk Street Scout Hut,Silk Street,Rochdale, OL11 3ER,388515.79,411685.22,Freehold,Leasehold (out),Land & Buildings
Rochdale Borough Council,2021-22,,3524,Pilsworth Road Land Only (Hairdressers Hut),Pilsworth Road,Rochdale, OL10 3BH,384925.08,410499.14,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,,3526,Norrey's St Scout Hut,Norrey's Street,Rochdale,,390143.7,413637.34,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,3537,Long St (Scouts) Land only,Long Street,Rochdale,,387050.75,406289.34,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,23104741,3539,Edmund St (Taxi Office),Edmund Street,Rochdale, OL16 4HR,392633.46,412698.8,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,23108754,3543,Clematina St Clinic,Clementina Street,Rochdale, OL12 0ND,389663.28,414114.55,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,,3682,17/19/21 Belfield Road - Land,Belfield Road,Rochdale, OL16 2 UY,,,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,,3795,Alkrington Scout Hut,Manchester New Road,Rochdale, M24 1LB,386772.05,404758.67,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,,3847,Manchester Rd Scout Hut (Land  Only),Manchester Road,Rochdale,,386180.78,409618.46,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,,3876,Land at Lower Ogden Farm,Lower Ogden Farm,Pennine, OL16 3TD,395415.08,412072.27,Freehold,Local Authority Occupied,Land
Rochdale Borough Council,2021-22,23106825,3920,Kingdom Hall (Littleborough),School Street,Heywood, OL15 8NE,392475.41,416030.94,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23109234,4100,Heywood Air Training Cadets,Bamford Road,Rochdale, OL10 4TF,385530.34,411207.18,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23109052,5404,Alkrington Bowling Club,Hardfield Road,Rochdale, M24 1TQ,387191.73,404446.93,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,10023362814,9721,Kirkway Children's Centre,Kirkway,Rochdale, M24 1FL,387375.21,405404.27,Freehold,Local Authority Occupied,Land & Buildings
Rochdale Borough Council,2021-22,23034945,5312,43 Harewood Avenue,Harewood Avenue,Rochdale, OL11 5TQ,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23099313,5313,Hopwood Hall Farm (ROW),Hollin Lane,Rochdale, OL11 5PW,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23063141,5329,73 Walkden Street Ground Rent Land,Walkden Street,Rochdale, OL12 0SU,389732.11,414222.11,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23029083,5336,6 Norfolk Avenue,Norfolk Avenue,Middleton, OL10 4RN,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23001266,5337,5 Broad Street,Broad Street,Middleton, M24 4PQ,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23023758,5338,72 Green Lane,Green Lane,Middleton, M24 2WF,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23024266,5358,28 Rudyard Avenue,Rudyard Avenue,Middleton, M24 2WU,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23024269,5359,30 Rudyard Avenue,Rudyard Avenue,Middleton, M24 2WU,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23024271,5360,32 Rudyard Avenue,Rudyard Avenue,Middleton, M24 2WU,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23006662,5362,8A Kingsway R/O,Kingsway R/O,Middleton, M24 1LS,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23006227,5364,221 Manchester New Road R/O,Manchester New Road R/O,Middleton, M24 1JT,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23006229,5365,225 Manchester New Road R/O,Manchester New Road R/O,Pennine, M24 1JT,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23078611,5369,7 James Street,James Street,Rochdale, OL12 9HU,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23078612,5370,9 James Street,James Street,Rochdale, OL12 9HU,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23078682,5378,16 Birch Avenue R/O,Birch Avenue R/O,Middleton, OL12 9QH,389758.59,414358.53,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,,9938,56 Hope Street,Hope Street,Rochdale, OL12 0PJ,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,,9947,4 Norfolk Avenue,Norfolk Avenue,Rochdale, OL10 4RN,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23078608,5371,11 James Street,James Street,Pennine, OL12 9HU,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,,9943,Fieldhouse Road,Fieldhouse Road,Pennine,,389884.42,414818.06,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23078607,5366,1 James Street,James Street,Pennine, OL12 9HU,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23078609,5367,3 James Street,James Street,Pennine, OL12 9HU,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23078610,5368,5 James Street,James Street,Pennine, OL12 9HU,,,Other,Privileges/ROW,Land
Rochdale Borough Council,2021-22,23084960,306,New Street Farm,New Street,Middleton, OL15 8HW,392809.88,415717.74,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,23004543,307,Rosedean Poultry Farm,Langley Lane,Heywood, M24 5LJ,384546.03,406285,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,23030563,308,Top o' th' Wood Farm,110 Bury and Rochdale Old Road,Middleton, OL10 4BQ,384667.23,411882.44,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,23012133,309,Yew Tree Farm,Oaken Bank Road,Middleton, M24 6XJ,386979.96,408477.74,Freehold,Leasehold (out),Land
Rochdale Borough Council,2021-22,,3909,Ramsden Road Garage Site (various),Ramsden Road,Middleton,,391260.56,416956.78,Freehold,Licence (Out),Land & Buildings
Rochdale Borough Council,2021-22,,5493,Athol Street Garages,Athol Street,Rochdale,,390562.19,414403.44,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,5501,Belfield Old Road Garages,Belfield Old Road,Rochdale,,391275.09,413776.31,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,5520,Calder Avenue Garages,Calder Avenue,Rochdale,,393246.47,417117.21,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,5521,Calf Hey South Garages,Calf Hey South,Rochdale,,390364.06,411793.79,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,4169,Croft Gates Road,Croft Gates Road,Rochdale,,385509.46,405418.71,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,4171,Castleton Cricket Club (RO),Sparth Bottoms Road,Pennine,,387812.97,410724.26,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,4172,Birch Road,Birch Road,Pennine,,391447.22,416505.17,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,4181,Ferrand Road (RO),Ferrand Road,Middleton,,394001.65,416885.89,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,4189,Sandy Lane,Sandy Lane,Pennine,,388020.02,405487.22,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,4194,Buckley Hill Lane,Buckley Hill Lane,Pennine,,,,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,4197,Watermill Close,Watermill Close,Pennine,,,,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,4208,Peel Lane,Peel Lane,Rochdale,,,,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,4226,Whitegates Road,Whitegates Road,Heywood,,388287.16,407860.5,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,4231,Green Lane,Green Lane,Rochdale,,,,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,,8930,"Three Pits Stables, Whitegates Road",Whitegates Road,Rochdale,,,,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING001                    ,9103,Spring Hill Grazing Land,Spring Hill,Rochdale,,390805.23,411248.4,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING002                    ,9104,Albert Royds Street Grazing Land,Albert Royds Street,Rochdale,,391056,414230.49,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING003                    ,9105,Birch Hill (North of) Grazing Land,Birch Hill (North of),Rochdale,,391994.45,416507.92,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING004                    ,9106,Shawfield Stones Grazing Land,Shawfield Stones,Rochdale,,386911.83,414738.35,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING005                    ,9107,Hollin Hill Grazing Land,Hollin Hill,Rochdale,,387848.74,416318.24,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING006                    ,9108,Hutchinson Road Grazing Land,Hutchinson Road,Rochdale,,385724.91,414440.5,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING007                    ,9109,West of Kirkholt Grazing Land,West of Kirkholt,Rochdale,,389316.33,410890.03,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING008                    ,9110,Oldham Road Grazing Land,Oldham Road,Rochdale,,390729.77,410489.5,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING009                    ,9111,Roch Valley Way Grazing Land,Roch Valley Way,Rochdale,,387903.92,412633.17,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING010                    ,9112,Shawfield Lane Grazing Land,Shawfield Lane,Middleton,,386615.47,414730.42,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING011                    ,9113,Heywood Old Road Grazing Land,Heywood Old Road,Heywood,,385191.51,407500.89,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING012                    ,9114,Ouzle Hall Paddock Grazing Land,Ouzle Hall Paddock,Heywood,,385104.35,411921.8,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING013                    ,9115,Summit Grazing Land,Summit,Heywood,,383837.28,411028.85,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING014                    ,9116,Gristlehurst Grazing Land,Gristlehurst,Pennine,,384741.4,411819.44,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING015                    ,9117,Stubley Mill Grazing Land,Stubley Mill,Middleton,,392601.94,415765.27,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING016                    ,9118,Boarshaw Lane Grazing Land,Boarshaw Lane,Middleton,,388395.98,407301.75,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING017                    ,9119,Highfield Street Grazing Land,Highfield Street,Pennine,,,,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING018                    ,9120,Moss Cottages Stables,Moss Cottages,Rochdale,,392326.12,415082.41,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING019                    ,9121,Starring Road (RO) Grazing Land,Starring Road (RO),Rochdale,,392507.02,416162,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING020                    ,9122,St Vincents Church (ADJ) Grazing Land,St Vincents Church (ADJ),Middleton,,387081.84,414178.02,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING022                    ,9124,Stanycliffe Lane Grazing Land,Stanycliffe Lane,Middleton,,388059.27,407417.64,Freehold,Licence (Out),Land
Rochdale Borough Council,2021-22,GRAZING025                    ,9127,Tennyson Road Grazing Licence,Tennyson Road Licence,Pennine,,387668.68,407027.09,Freehold,Licence (Out),Land
